Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
4.1840,0,44.3302,-18.8542,-40.1208,0.0000
4.1840,1,196.1996,0.0000,-196.1996,392.3990
4.2200,0,44.3302,-18.8542,-40.1208,0.0000
4.2200,1,196.1996,0.0000,-196.1996,392.3990
4.2520,0,44.3302,-18.8542,-40.1208,0.0000
4.2520,1,196.1996,0.0000,-196.1996,392.3989
4.2860,0,44.3302,-18.8542,-40.1208,0.0000
4.2860,1,196.1996,0.0000,-196.1996,392.3989
4.3180,0,44.3302,-18.8542,-40.1208,0.0000
4.3180,1,196.1996,0.0000,-196.1996,392.3989
4.3520,0,44.3302,-18.8542,-40.1208,0.0000
4.3520,1,196.1996,0.0000,-196.1996,392.3989
4.3860,0,44.3302,-18.8542,-40.1208,0.0000
4.3860,1,196.1996,0.0000,-196.1996,392.3989
4.4200,0,44.3301,-18.8542,-40.1208,0.0000
4.4200,1,196.1996,0.0000,-196.1996,392.3989
4.4520,0,44.3301,-18.8542,-40.1208,0.0000
4.4520,1,196.1996,0.0000,-196.1996,392.3989
4.4900,0,44.3301,-18.8542,-40.1208,0.0000
4.4900,1,196.1996,0.0000,-196.1996,392.3990
4.5240,0,44.3301,-18.8542,-40.1208,0.0000
4.5240,1,196.1996,0.0000,-196.1996,392.3989
4.5520,0,44.3302,-18.8542,-40.1208,0.0000
4.5520,1,196.1996,0.0000,-196.1996,392.3989
4.5840,0,44.3301,-18.8542,-40.1208,0.0000
4.5840,1,196.1996,0.0000,-196.1996,392.3990
4.6200,0,44.3301,-18.8542,-40.1208,0.0000
4.6200,1,196.1996,0.0000,-196.1996,392.3990
4.6560,0,44.3302,-18.8542,-40.1208,0.0000
4.6560,1,196.1996,0.0000,-196.1996,392.3989
4.6860,0,44.3302,-18.8542,-40.1208,0.0000
4.6860,1,196.1996,0.0000,-196.1996,392.3990
4.7180,0,44.3302,-18.8542,-40.1208,0.0000
4.7180,1,196.1996,0.0000,-196.1996,392.3990
4.7520,0,44.3302,-18.8542,-40.1208,0.0000
4.7520,1,196.1996,0.0000,-196.1996,392.3990
4.7860,0,44.3301,-18.8542,-40.1208,0.0000
4.7860,1,196.1996,0.0000,-196.1996,392.3990
4.8180,0,44.3302,-18.8542,-40.1208,0.0000
4.8180,1,196.1996,0.0000,-196.1996,392.3990
4.8520,0,44.3302,-18.8542,-40.1208,0.0000
4.8520,1,196.1996,0.0000,-196.1996,392.3989
4.8860,0,44.3302,-18.8542,-40.1208,0.0000
4.8860,1,196.1996,0.0000,-196.1996,392.3990
4.9180,0,44.3302,-18.8542,-40.1208,0.0000
4.9180,1,196.1996,0.0000,-196.1996,392.3989
4.9520,0,44.3302,-18.8542,-40.1208,0.0000
4.9520,1,196.1996,0.0000,-196.1996,392.3989
4.9820,0,44.3302,-18.8542,-40.1208,0.0000
4.9820,1,196.1996,0.0000,-196.1996,392.3990
5.0200,0,44.3302,-18.8542,-40.1208,0.0000
