Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
3.9340,0,44.3301,-18.8542,-40.1208,0.0000
3.9340,1,196.1996,0.0000,-196.1996,392.3990
3.9660,0,44.3302,-18.8542,-40.1208,0.0000
3.9660,1,196.1996,0.0000,-196.1996,392.3990
4.0000,0,44.3301,-18.8542,-40.1208,0.0000
4.0000,1,196.1996,0.0000,-196.1996,392.3990
4.0280,0,44.3301,-18.8542,-40.1208,0.0000
4.0280,1,196.1996,0.0000,-196.1996,392.3990
4.0620,0,44.3301,-18.8542,-40.1208,0.0000
4.0620,1,196.1996,0.0000,-196.1996,392.3989
4.1000,0,44.3302,-18.8542,-40.1208,0.0000
4.1000,1,196.1996,0.0000,-196.1996,392.3990
4.1340,0,44.3302,-18.8542,-40.1208,0.0000
4.1340,1,196.1996,0.0000,-196.1996,392.3990
4.1640,0,44.3302,-18.8542,-40.1208,0.0000
4.1640,1,196.1996,0.0000,-196.1996,392.3990
4.2020,0,44.3302,-18.8542,-40.1208,0.0000
4.2020,1,196.1996,0.0000,-196.1996,392.3990
4.2300,0,44.3302,-18.8542,-40.1208,0.0000
4.2300,1,196.1996,0.0000,-196.1996,392.3990
4.2640,0,44.3302,-18.8542,-40.1208,0.0000
4.2640,1,196.1996,0.0000,-196.1996,392.3989
4.2960,0,44.3302,-18.8542,-40.1208,0.0000
4.2960,1,196.1996,0.0000,-196.1996,392.3990
4.3280,0,44.3302,-18.8542,-40.1208,0.0000
4.3280,1,196.1996,0.0000,-196.1996,392.3990
4.3620,0,44.3301,-18.8542,-40.1208,0.0000
4.3620,1,196.1996,0.0000,-196.1996,392.3989
4.3960,0,44.3301,-18.8542,-40.1208,0.0000
4.3960,1,196.1996,0.0000,-196.1996,392.3990
4.4300,0,44.3301,-18.8542,-40.1208,0.0000
4.4300,1,196.1996,0.0000,-196.1996,392.3989
4.4620,0,44.3302,-18.8542,-40.1208,0.0000
4.4620,1,196.1996,0.0000,-196.1996,392.3990
4.4960,0,44.3301,-18.8542,-40.1208,0.0000
4.4960,1,196.1996,0.0000,-196.1996,392.3990
4.5280,0,44.3301,-18.8542,-40.1208,0.0000
4.5280,1,196.1996,0.0000,-196.1996,392.3990
4.5620,0,44.3302,-18.8542,-40.1208,0.0000
4.5620,1,196.1996,0.0000,-196.1996,392.3990
4.5980,0,44.3301,-18.8542,-40.1208,0.0000
4.5980,1,196.1996,0.0000,-196.1996,392.3990
4.6300,0,44.3302,-18.8542,-40.1208,0.0000
4.6300,1,196.1996,0.0000,-196.1996,392.3989
4.6620,0,44.3302,-18.8542,-40.1208,0.0000
4.6620,1,196.1996,0.0000,-196.1996,392.3990
4.6940,0,44.3301,-18.8542,-40.1208,0.0000
4.6940,1,196.1996,0.0000,-196.1996,392.3989
4.7280,0,44.3301,-18.8542,-40.1208,0.0000
4.7280,1,196.1996,0.0000,-196.1996,392.3990
4.7620,0,44.3302,-18.8542,-40.1208,0.0000
4.7620,1,196.1996,0.0000,-196.1996,392.3990
4.7960,0,44.3301,-18.8542,-40.1208,0.0000
4.7960,1,196.1996,0.0000,-196.1996,392.3990
4.8280,0,44.3302,-18.8542,-40.1208,0.0000
4.8280,1,196.1996,0.0000,-196.1996,392.3990
4.8620,0,44.3302,-18.8542,-40.1208,0.0000
4.8620,1,196.1996,0.0000,-196.1996,392.3990
4.8980,0,44.3302,-18.8542,-40.1208,0.0000
4.8980,1,196.1996,0.0000,-196.1996,392.3990
4.9300,0,44.3302,-18.8542,-40.1208,0.0000
4.9300,1,196.1996,0.0000,-196.1996,392.3990
4.9600,0,44.3302,-18.8542,-40.1208,0.0000
4.9600,1,196.1996,0.0000,-196.1996,392.3990
5.0000,0,44.3302,-18.8542,-40.1208,0.0000
5.0000,1,196.1996,0.0000,-196.1996,392.3990
5.0280,0,44.3302,-18.8542,-40.1208,0.0000
5.0280,1,196.1996,0.0000,-196.1996,392.3990
5.0620,0,44.3302,-18.8542,-40.1208,0.0000
5.0620,1,196.1996,0.0000,-196.1996,392.3990
5.0960,0,44.3302,-18.8542,-40.1208,0.0000
5.0960,1,196.1996,0.0000,-196.1996,392.3990
5.1280,0,44.3302,-18.8542,-40.1208,0.0000
5.1280,1,196.1996,0.0000,-196.1996,392.3990
5.1620,0,44.3302,-18.8542,-40.1208,0.0000
5.1620,1,196.1996,0.0000,-196.1996,392.3990
5.1980,0,44.2051,-18.8337,-39.9923,0.0000
5.1980,1,14142.1357,10000.0000,-10000.0000,10000.0000
5.2280,0,43.9766,-18.6563,-39.8231,0.0000
5.2280,1,4103.7295,-41.2669,-4103.5220,10000.0000
5.2660,0,43.6231,-18.3522,-39.5749,0.0000
5.2660,1,3716.8770,94.2145,-3715.6829,10000.0000
5.2980,0,43.2471,-17.9738,-39.3351,0.0000
5.2980,1,105.4574,-59.1129,87.3323,-181.7077
5.3300,0,42.8084,-17.4785,-39.0776,0.0000
5.3300,1,99.3967,-57.3300,81.1971,-170.9969
5.3600,0,42.3374,-16.9144,-38.8118,0.0000
5.3600,1,91.7499,-55.6188,72.9698,-154.1712
5.3980,0,41.6603,-16.0520,-38.4437,0.0000
5.3980,1,82.5731,-53.5156,62.8840,-133.5529
5.4280,0,41.0751,-15.2640,-38.1336,0.0000
5.4280,1,75.7811,-51.9334,55.1879,-117.8326
5.4620,0,40.3683,-14.2550,-37.7676,0.0000
5.4620,1,68.5940,-50.1780,46.7687,-100.6334
5.4940,0,39.6566,-13.1804,-37.4022,0.0000
5.4940,1,62.3391,-48.5721,39.0757,-84.9284
5.5280,0,38.8764,-11.9200,-37.0039,0.0000
5.5280,1,56.3545,-46.9343,31.1930,-68.8356
5.5600,0,38.1268,-10.6205,-36.6177,0.0000
5.5600,1,51.3802,-45.4335,23.9943,-54.1474
5.5940,0,37.3269,-9.1169,-36.1964,0.0000
5.5940,1,46.9258,-43.8902,16.6036,-39.0779
5.6280,0,36.5514,-7.4878,-35.7762,0.0000
5.6280,1,43.4681,-42.4255,9.4634,-24.5197
5.6600,0,35.8598,-5.8505,-35.3793,0.0000
5.6600,1,41.1690,-41.0620,2.9665,-11.2752
5.6940,0,35.1840,-3.9734,-34.9589,0.0000
5.6940,1,39.8613,-39.6877,-3.7162,2.3394
5.7320,0,34.5431,-1.7489,-34.4988,0.0000
5.7320,1,39.7142,-38.1837,-10.9190,17.0069
5.7620,0,34.1518,0.1177,-34.1516,0.0000
5.7620,1,40.5121,-37.0340,-16.4231,28.2168
5.8000,0,33.8284,2.6417,-33.7251,0.0000
5.8000,1,42.5159,-35.6611,-23.1493,41.9052
5.8300,0,33.7475,4.7170,-33.4162,0.0000
5.8300,1,44.6818,-34.5855,-28.2897,52.3656
5.8620,0,33.8435,7.0464,-33.1019,0.0000
5.8620,1,47.4313,-33.4836,-33.5943,63.1599
5.8960,0,34.1946,9.6292,-32.8108,0.0000
5.8960,1,50.7152,-32.3582,-39.0510,74.2515
5.9300,0,34.8168,12.3541,-32.5513,0.0000
5.9300,1,54.2432,-31.2689,-44.3237,84.9748
5.9620,0,35.6675,15.0144,-32.3534,0.0000
5.9620,1,57.7100,-30.2787,-49.1289,94.7383
5.9940,0,36.7812,17.7719,-32.2027,0.0000
5.9940,1,61.2450,-29.3074,-53.7776,104.1904
6.0280,0,38.2535,20.8128,-32.0960,0.0000
6.0280,1,65.0546,-28.3376,-58.5583,113.9006
6.0620,0,40.0322,23.9804,-32.0549,0.0000
6.0620,1,68.8473,-27.3583,-63.1781,123.2821
6.0960,0,42.0952,27.2432,-32.0907,0.0000
6.0960,1,72.6246,-26.4384,-67.6413,132.3463
6.1280,0,44.2934,30.4229,-32.1925,0.0000
6.1280,1,76.1441,-25.6148,-71.7064,140.5942
6.1620,0,46.8791,33.8913,-32.3887,0.0000
6.1620,1,79.8217,-24.7590,-75.8847,149.0725
6.1980,0,49.8971,37.6953,-32.6923,0.0000
6.1980,1,83.6344,-23.8742,-80.1544,157.7423
6.2300,0,52.7838,41.1495,-33.0583,0.0000
6.2300,1,86.9495,-23.1081,-83.8227,165.1804
6.2620,0,55.8801,44.7094,-33.5210,0.0000
6.2620,1,90.1993,-22.3762,-87.3797,172.3952
6.2940,0,37.8786,4.4870,-37.6120,0.0000
6.2940,1,8559.7744,3281.6511,-7905.7266,10000.0000
6.3300,0,38.7775,6.2664,-38.2679,0.0000
6.3300,1,8460.0459,3192.2712,-7834.6528,10000.0000
6.3620,0,36.8054,3.3620,-36.6516,0.0000
6.3620,1,8307.2305,3066.4524,-7720.5537,10000.0000
6.3940,0,37.6359,3.5985,-37.4635,0.0000
6.3940,1,8261.3994,3024.5327,-7687.8423,10000.0000
6.4280,0,37.4193,3.2017,-37.2821,0.0000
6.4280,1,8213.4180,2980.6921,-7653.4766,10000.0000
6.4600,0,37.2416,2.9668,-37.1232,0.0000
6.4600,1,8168.9360,2940.1387,-7621.4893,10000.0000
6.4940,0,37.4053,3.0675,-37.2793,0.0000
6.4940,1,8122.3628,2897.7461,-7587.8750,10000.0000
6.5280,0,37.3609,2.9192,-37.2467,0.0000
6.5280,1,8076.5034,2856.1089,-7554.6372,10000.0000
6.5620,0,37.5318,3.0301,-37.4093,0.0000
6.5620,1,8021.7568,2806.9561,-7514.6245,10000.0000
6.5960,0,37.7252,3.2499,-37.5850,0.0000
6.5960,1,7954.3057,2747.4858,-7464.7368,10000.0000
6.6280,0,37.5249,2.7780,-37.4219,0.0000
6.6280,1,3959.3140,300.2285,-3947.9148,10000.0000
6.6620,0,37.7262,2.9807,-37.6082,0.0000
6.6620,1,3881.6448,264.8484,-3872.5989,10000.0000
6.6940,0,37.8329,3.0338,-37.7111,0.0000
6.6940,1,4616.8960,727.2443,-4559.2593,10000.0000
6.7280,0,37.9324,3.1069,-37.8050,0.0000
6.7280,1,7628.1040,2487.6606,-7211.0688,10000.0000
6.7620,0,37.9735,3.0238,-37.8529,0.0000
6.7620,1,7536.0117,2418.0471,-7137.5430,10000.0000
6.7960,0,37.9836,2.8462,-37.8768,0.0000
6.7960,1,7438.9521,2347.7166,-7058.7700,10000.0000
6.8280,0,37.7718,2.0964,-37.7136,0.0000
6.8280,1,3873.6135,310.8578,-3861.1201,10000.0000
6.8600,0,37.9232,2.3318,-37.8514,0.0000
6.8600,1,5025.9517,979.9084,-4929.5000,10000.0000
6.8940,0,37.6384,1.3364,-37.6146,0.0000
6.8940,1,5010.2153,971.9748,-4915.0303,10000.0000
6.9280,0,37.7099,1.3115,-37.6871,0.0000
6.9280,1,7116.0029,2136.7532,-6787.6196,10000.0000
6.9620,0,37.5272,0.6551,-37.5215,0.0000
6.9620,1,3866.8540,329.6315,-3852.7786,10000.0000
6.9940,0,37.6040,0.6321,-37.5987,0.0000
6.9940,1,6992.2837,2055.0745,-6683.4644,10000.0000
7.0300,0,37.4277,0.0158,-37.4277,0.0000
7.0300,1,1004.0593,66.6322,-1001.8459,2546.6201
7.0620,0,37.5161,0.0158,-37.5161,0.0000
7.0620,1,6869.2520,1975.5089,-6579.0566,10000.0000
7.1000,0,37.5631,-0.0663,-37.5631,0.0000
7.1000,1,6786.8389,1924.9827,-6508.1196,10000.0000
7.1280,0,37.4337,-0.5460,-37.4297,0.0000
7.1280,1,1339.3344,105.3468,-1335.1848,3409.4583
7.1600,0,37.6307,-0.2634,-37.6298,0.0000
